597157	3594
86268	597
556141	3329
86839	597
275712	1798
276964	1798
556052	3329
503742	3027
356835	2180
437031	2504
596365	3594
436987	2504
277431	1798
596744	3594
536290	3230
309661	1902
359115	2180
437093	2504
360299	2180
359989	2180
360632	2180
551370	3318
86801	597
555312	3329
357958	2180
552539	3318
596032	3594
357750	2180
551736	3318
278694	1801
356875	2180
11097	36
10681	36
308295	1902
157148	1194
359571	2180
278196	1801
309331	1902
12324	36
118679	755
436192	2504
436746	2504
10677	36
278544	1801
536552	3230
500834	3011
156908	1194
596491	3594
309037	1902
356903	2180
551745	3318
275417	1798
551035	3318
504209	3027
360179	2180
159206	1201
358071	2180
308917	1902
12302	36
10808	36
86570	597
12107	36
487076	2934
597095	3594
551028	3318
597009	3594
8158	36
358090	2180
552112	3318
357462	2180
7803	36
503695	3027
555694	3329
8892	36
10369	36
360282	2180
86409	597
500538	3011
275648	1798
487126	2934
156871	1194
435962	2504
118747	755
551015	3318
487493	2934
157058	1194
277894	1798
86088	597
158708	1201
551831	3318
536221	3230
551889	3318
8159	36
9614	36
308046	1902
596937	3594
595355	3594
552108	3318
551793	3318
10335	36
308280	1902
486654	2934
278349	1801
359855	2180
278549	1801
156821	1194
278596	1801
7720	36
359553	2180
436686	2504
162651	1234
551208	3318
309252	1902
157092	1194
8081	36
551374	3318
10104	36
552207	3318
554328	3329
358058	2180
276363	1798
360275	2180
158768	1201
356775	2180
86488	597
275966	1798
8888	36
554339	3329
358723	2180
552070	3318
360130	2180
554694	3329
596009	3594
8717	36
11989	36
279026	1801
358087	2180
358540	2180
11347	36
358632	2180
8966	36
11576	36
8231	36
8409	36
597032	3594
359906	2180
10887	36
357862	2180
550863	3318
359852	2180
358838	2180
554711	3329
596593	3594
86662	597
11771	36
7872	36
487315	2934
359405	2180
11147	36
555891	3329
555629	3329
7907	36
357141	2180
357450	2180
358901	2180
276442	1798
360767	2180
501037	3011
9720	36
8654	36
85906	597
358444	2180
7737	36
503827	3027
275226	1798
596111	3594
503901	3027
554340	3329
596866	3594
597661	3594
276914	1798
357697	2180
554228	3329
8811	36
357207	2180
116120	755
554661	3329
555043	3329
597465	3594
437096	2504
486799	2934
596182	3594
597362	3594
554627	3329
555414	3329
275872	1798
596539	3594
486911	2934
436907	2504
554810	3329
554460	3329
86198	597
487096	2934
500659	3011
275427	1798
555755	3329
275600	1798
595749	3594
596366	3594
436285	2504
555555	3329
596507	3594
437114	2504
504275	3027
359460	2180
551476	3318
357994	2180
357051	2180
361021	2180
156861	1194
85723	597
162983	1234
504113	3027
487521	2934
596483	3594
551314	3318
595511	3594
9917	36
597107	3594
357695	2180
11893	36
596728	3594
436281	2504
501096	3011
597491	3594
358945	2180
9919	36
275407	1798
11359	36
276593	1798
9222	36
360046	2180
551584	3318
596392	3594
358858	2180
360619	2180
357937	2180
597380	3594
596095	3594
596295	3594
550746	3318
555162	3329
360219	2180
159193	1201
358300	2180
359440	2180
357668	2180
595423	3594
275165	1798
86213	597
277242	1798
487170	2934
157075	1194
555542	3329
85848	597
10121	36
360719	2180
597067	3594
10619	36
596227	3594
361187	2180
308762	1902
554628	3329
361039	2180
554514	3329
9299	36
597593	3594
551774	3318
275563	1798
596714	3594
118824	755
597143	3594
117455	755
551240	3318
361204	2180
487238	2934
487303	2934
278401	1801
360746	2180
9768	36
436244	2504
12058	36
10692	36
308684	1902
9565	36
595895	3594
275512	1798
551130	3318
359838	2180
504354	3027
275197	1798
500616	3011
278620	1801
550999	3318
12295	36
275699	1798
551754	3318
275993	1798
357596	2180
596557	3594
359329	2180
359923	2180
357337	2180
595798	3594
359684	2180
162512	1234
